Employee ID,Name,Department,Job Role,_composite,Performance Score,KPI Score,Attendance (%)
374439,Zaina Bhattacharyya,Hr,Recruitment Specialist,0.6470854921570692,50,63.52,75.13
509441,Tushar Ranganathan,Sales,Business Development,0.6496852400252657,50,61.66,80.14
761004,Himmat Walla,Marketing,Content Strategist,0.6597178855669018,53,65.51,75.84
991989,Saira Kalita,Hr,Recruitment Specialist,0.6671790904305717,56,61.31,77.76
149390,Dishani Kara,Hr,Employee Relations,0.6680094588904095,51,62.64,83.2
539556,Ryan Chakrabarti,It,Data Analyst,0.6696405863775134,51,64.81,78.16
364851,Krish Sama,Hr,Recruitment Specialist,0.6708980129487314,51,64.07,82.6
595983,Mannat Sodhi,Sales,Account Manager,0.6719825697441837,51,64.37,81.31
511783,Miraan Batra,It,Data Analyst,0.6748714006737552,53,61.1,85.92
784897,Nitara Dave,Hr,Hr Manager,0.6754748663017159,54,69.81,76.66
674175,Aarush Dhingra,Marketing,Content Strategist,0.6755526834403621,52,68.58,79.48
900336,Kiaan Garde,Sales,Business Development,0.6758507885040531,53,61.74,89.43
120071,Tarini De,Finance,Accountant,0.6763799963154017,50,63.63,85.22
314593,Raunak Kakar,Finance,Accountant,0.6764883203495106,51,61.38,80.06
607031,Prisha Ramachandran,Hr,Recruitment Specialist,0.6765624449942098,50,61.07,93.73
499740,Neelofar Raja,Finance,Auditor,0.6767576860722181,56,63.84,78.42
315288,Hansh Kapoor,Sales,Business Development,0.6767666612274976,52,66.79,82.13
482918,Jayesh Borah,Hr,Hr Manager,0.6771001347510265,51,61.28,87.86
435695,Alia Sangha,It,Cybersecurity Specialist,0.6794984450994842,50,64.68,79.76
760752,Madhup Chaudhari,Marketing,Marketing Executive,0.6796613622486578,50,73.31,79.96
